zaal,naam,resultaat,hoeken
zaal_19,IMG_20190323_120957.jpg,True,"[array([[[2768,  829]],

       [[2762, 2116]],

       [[1393, 2063]],

       [[1345,  832]]], dtype=int32), array([[[3024, 1987]],

       [[3764, 1972]],

       [[3791, 1254]],

       [[3046, 1255]]])]"
zaal_19,IMG_20190323_121003.jpg,True,"[array([[[1036,  775]],

       [[2958,  794]],

       [[2938, 2202]],

       [[1085, 2197]]], dtype=int32)]"
zaal_19,IMG_20190323_121006.jpg,True,"[array([[[2877,  785]],

       [[3024, 2087]],

       [[1130, 2083]],

       [[1227,  805]]], dtype=int32)]"
zaal_19,IMG_20190323_121012.jpg,True,"[array([[[ 884, 2427]],

       [[3094, 2342]],

       [[3180,  506]],

       [[ 847,  530]]])]"
zaal_19,IMG_20190323_121015.jpg,True,"[array([[[3054,  560]],

       [[3234, 2123]],

       [[ 628, 2099]],

       [[ 881,  573]]], dtype=int32)]"
zaal_19,IMG_20190323_121021.jpg,True,"[array([[[2681,  926]],

       [[2650, 1690]],

       [[1221, 1637]],

       [[1206,  931]]], dtype=int32), array([[[ 697,  927]],

       [[ 776, 2043]],

       [[  10, 2125]],

       [[   0,  943]]], dtype=int32)]"
zaal_19,IMG_20190323_121025.jpg,True,"[array([[[2730, 2176]],

       [[2770,  938]],

       [[1392,  930]],

       [[1479, 2141]]])]"
zaal_19,IMG_20190323_121029.jpg,True,"[array([[[2729,  983]],

       [[2667, 2074]],

       [[1408, 2124]],

       [[1304,  994]]], dtype=int32)]"
zaal_19,IMG_20190323_121032.jpg,True,"[array([[[1197, 2307]],

       [[2637, 2232]],

       [[2724,  846]],

       [[1126,  845]]])]"
zaal_19,IMG_20190323_121037.jpg,False,[]
zaal_19,IMG_20190323_121045.jpg,True,"[array([[[1183,  746]],

       [[2786,  756]],

       [[2733, 2195]],

       [[1266, 2196]]], dtype=int32)]"
zaal_19,IMG_20190323_121049.jpg,True,"[array([[[2996,  804]],

       [[4031,  813]],

       [[4016, 2799]],

       [[2956, 2707]]], dtype=int32)]"
zaal_19,IMG_20190323_121054.jpg,False,[]
zaal_19,IMG_20190323_121100.jpg,True,"[array([[[ 743,  617]],

       [[3390,  607]],

       [[3399, 2570]],

       [[ 826, 2658]]], dtype=int32)]"
zaal_19,IMG_20190323_121102.jpg,False,[]
zaal_19,IMG_20190323_121107.jpg,True,"[array([[[ 668, 2852]],

       [[3374, 2755]],

       [[3428,  480]],

       [[ 702,  506]]])]"
zaal_19,IMG_20190323_121110.jpg,True,"[array([[[1288,  953]],

       [[2766,  936]],

       [[2937, 2028]],

       [[1195, 2039]]], dtype=int32)]"
